Item,Value
CaptureFile,C:\work\Elmo\Elmo_Master\packet_capture\Motion_Tes2t.pcapng
ControllerIP,192.168.1.3
ReadActualPosition Requests,2109
ReadActualPosition Responses,2109
MoveAbsoluteEx Requests,10
MoveAbsoluteEx Responses,10
ReadAxisError Requests,4
ReadAxisError Responses,4
Read Req->Rsp Avg ms,0.6578821716453281
Read Req->Rsp Min ms,0.5957000000003099
Read Req->Rsp Max ms,2.4343000000000004
Move Req->Rsp Avg ms,0.6627800000000655
Move Req->Rsp Min ms,0.6164000000001835
Move Req->Rsp Max ms,0.7975999999999817
Move->FirstReadChange Avg ms,1.4086666666667123
Move->FirstReadChange Min ms,1.3055999999997958
Move->FirstReadChange Max ms,1.581400000000066
