Metric,ELMO_min,ELMO_avg,ELMO_max,SIGMATEK_min,SIGMATEK_avg,SIGMATEK_max,Delta_avg(SIG-ELMO)
"SetPos reach time (s, 0~8388608)",0.233000,0.233000,0.233000,0.233000,0.233000,0.233000,0.000000
"ActPos reach time (s, 0~99.9% target)",0.269000,0.271750,0.274000,0.268000,0.269500,0.272000,-0.002250
Peak velocity from SetPos (cnt/s),48933500.000000,48933500.000000,48933500.000000,48934000.000000,48934000.000000,48934000.000000,500.000000
Peak acceleration from SetPos (cnt/s^2),1511500000.000000,1511500000.000000,1511500000.000000,1511250000.000000,1511250000.000000,1511250000.000000,-250000.000000
Peak deceleration from SetPos (cnt/s^2),1514500000.000000,1514500000.000000,1514500000.000000,1514750000.000000,1514750000.000000,1514750000.000000,250000.000000
Peak jerk from SetPos (cnt/s^3),61250000000.000000,61250000000.000000,61250000000.000000,61250000000.000000,61250000000.000000,61250000000.000000,0.000000

Assumption,8388608 cnt == 360 mm,cnt_per_mm,23301.688889
"Metric(mm-domain, avg)",ELMO_avg,SIGMATEK_avg,Delta
Peak velocity (mm/s),2099.997997,2100.019455,0.021458
Peak acceleration (mm/s^2),64866.542816,64855.813980,-10.728836
Peak deceleration (mm/s^2),64995.288849,65006.017685,10.728836
Peak jerk (mm/s^3),2628564.834595,2628564.834595,0.000000

Per-cycle detail
System,CycleNo,StartTime(s),EndTime(s),SetReach(s),ActReach(s),Vpeak(cnt/s),AccPeak(cnt/s^2),DecPeak(cnt/s^2),JerkPeak(cnt/s^3)
ELMO,1,0.564000,0.797000,0.233000,0.270000,48933500.000000,1511500000.000000,1514500000.000000,61250000000.000000
ELMO,2,1.141000,1.374000,0.233000,0.274000,48933500.000000,1511500000.000000,1514500000.000000,61250000000.000000
ELMO,3,1.710000,1.943000,0.233000,0.274000,48933500.000000,1511500000.000000,1514500000.000000,61250000000.000000
ELMO,4,2.295000,2.528000,0.233000,0.273000,48933500.000000,1511500000.000000,1514500000.000000,61250000000.000000
ELMO,5,2.877000,3.110000,0.233000,0.273000,48933500.000000,1511500000.000000,1514500000.000000,61250000000.000000
ELMO,6,3.478000,3.711000,0.233000,0.271000,48933500.000000,1511500000.000000,1514500000.000000,61250000000.000000
ELMO,7,4.061000,4.294000,0.233000,0.270000,48933500.000000,1511500000.000000,1514500000.000000,61250000000.000000
ELMO,8,4.631000,4.864000,0.233000,0.269000,48933500.000000,1511500000.000000,1514500000.000000,61250000000.000000
SIGMATEK,1,0.559000,0.792000,0.233000,0.271000,48934000.000000,1511250000.000000,1514750000.000000,61250000000.000000
SIGMATEK,2,1.142000,1.375000,0.233000,0.268000,48934000.000000,1511250000.000000,1514750000.000000,61250000000.000000
SIGMATEK,3,1.739000,1.972000,0.233000,0.269000,48934000.000000,1511250000.000000,1514750000.000000,61250000000.000000
SIGMATEK,4,2.306000,2.539000,0.233000,0.272000,48934000.000000,1511250000.000000,1514750000.000000,61250000000.000000
SIGMATEK,5,2.907000,3.140000,0.233000,0.269000,48934000.000000,1511250000.000000,1514750000.000000,61250000000.000000
SIGMATEK,6,3.476000,3.709000,0.233000,0.268000,48934000.000000,1511250000.000000,1514750000.000000,61250000000.000000
SIGMATEK,7,4.055000,4.288000,0.233000,0.271000,48934000.000000,1511250000.000000,1514750000.000000,61250000000.000000
SIGMATEK,8,4.638000,4.871000,0.233000,0.268000,48934000.000000,1511250000.000000,1514750000.000000,61250000000.000000
